Epoch,totalError
0,2.201139292679999
1,2.1788420975260014
2,2.157898722202661
3,2.143191261593463
4,2.1354877116112254
5,2.1326607434646663
6,2.1323257436365544
7,2.1333521362232255
8,2.1353315634723957
9,2.1378611076333325
10,2.1404826877359864
11,2.1427975755982276
12,2.144565291925302
13,2.1457883847777968
14,2.1466497961785773
15,2.1473375945958386
16,2.147932341652345
17,2.148410146674107
18,2.148702374586745
19,2.148749503452598
20,2.1485065836323063
21,2.1478931807700907
22,2.146717623795572
23,2.144597115234185
24,2.1408527346775417
25,2.1343220698326943
26,2.123014521564013
27,2.103541776913471
28,2.070334051954282
29,2.014898808344066
30,1.9257829404309657
31,1.7897974332213524
32,1.5932093051016174
33,1.3216305621993039
34,0.9765569632408171
35,0.625867069054446
36,0.3642581129542571
37,0.2097843829918285
38,0.12794098038843738
39,0.08479046955918156
40,0.060942068947772834
41,0.046924910826960736
